Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
ACC,0.5,DOC,79.75,63.46,57.99,77.14,72.14,73.15,81.81,73.62,50.34,69.43,58.16,68.82
ACC,0.5,DeepUNK,89.04,37.22,58.59,62.37,70.32,71.61,76.76,75.56,38.55,67.13,45.42,62.96
ACC,0.5,ADB,80.64,84.00,45.20,73.06,76.13,86.50,84.58,74.52,82.47,69.00,81.87,76.18
ACC,0.5,SCL,86.60,48.23,43.54,74.88,50.42,59.31,73.98,52.33,13.30,68.28,56.66,57.05
ACC,0.5,AB,60.76,38.42,50.30,47.54,65.56,67.56,74.62,72.40,51.58,63.68,61.64,59.46
ACC,0.5,KNNCon,89.28,65.93,46.80,66.96,72.39,77.36,81.51,69.93,78.23,70.60,69.22,71.66
ACC,0.5,DyEn,94.37,71.42,43.88,71.52,70.11,65.89,82.48,66.50,70.67,71.55,71.01,70.85
ACC,0.5,LLM-MaxSoftmax,64.45,58.66,53.61,64.57,57.81,57.91,65.67,61.61,63.04,58.61,68.07,61.27
ACC,0.5,LLM-OpenMax,90.66,78.61,45.66,80.08,68.56,83.43,79.59,74.81,71.71,58.31,61.72,72.10
ACC,0.5,LLM-TempScale,64.45,58.87,53.07,63.76,57.64,57.91,65.98,61.09,62.68,57.82,68.08,61.03
ACC,0.5,LLM-EnergyBased,94.02,81.06,64.40,81.22,78.79,87.04,88.33,79.77,73.87,72.15,81.91,80.23
ACC,0.5,LLM-LogitNorm,74.63,60.51,45.96,81.18,80.05,68.51,90.30,79.59,73.87,63.87,87.60,73.28
ACC,0.5,LLM-Entropy,66.27,59.83,56.64,64.00,55.36,57.52,62.89,61.26,62.81,61.15,65.75,61.23
ACC,0.5,LLM-KLMatching,59.25,54.29,41.87,57.18,53.05,55.63,58.68,55.39,59.71,54.98,61.91,55.63
ACC,0.5,LLM-MaxLogit,93.97,82.04,65.58,81.84,80.05,87.77,90.18,81.47,75.92,73.78,85.55,81.65
ACC,0.75,DOC,75.05,48.73,38.03,69.92,62.75,74.08,75.90,68.31,28.10,59.27,24.95,56.83
ACC,0.75,DeepUNK,89.94,35.53,43.26,39.35,53.77,61.57,65.71,63.70,28.13,51.54,38.81,51.94
ACC,0.75,ADB,89.03,82.93,58.09,77.79,78.04,82.33,85.92,76.41,82.55,70.88,85.49,79.04
ACC,0.75,SCL,77.81,38.57,31.07,66.54,55.33,64.31,74.73,48.32,11.84,62.30,61.48,53.85
ACC,0.75,AB,58.14,32.34,45.98,43.48,63.04,63.46,72.38,67.48,48.74,56.98,56.94,55.36
ACC,0.75,KNNCon,94.40,77.41,58.60,81.70,80.14,80.94,87.67,77.32,81.68,78.46,78.94,79.75
ACC,0.75,DyEn,95.23,77.68,58.29,76.45,79.45,77.10,86.83,75.22,77.51,78.69,80.10,78.41
ACC,0.75,LLM-MaxSoftmax,83.13,72.64,64.07,77.51,75.27,77.52,80.62,75.06,74.65,69.85,79.91,75.48
ACC,0.75,LLM-OpenMax,91.25,80.07,60.39,72.86,57.92,85.31,73.06,67.42,54.99,53.35,48.61,67.75
ACC,0.75,LLM-TempScale,83.13,72.81,64.22,77.59,75.08,77.94,80.99,74.92,74.65,69.37,80.19,75.54
ACC,0.75,LLM-EnergyBased,90.32,77.30,38.77,72.29,70.23,79.10,79.35,70.99,58.57,49.85,77.50,69.48
ACC,0.75,LLM-LogitNorm,92.01,77.35,61.16,81.51,76.84,84.00,88.61,77.73,78.52,67.49,81.60,78.80
ACC,0.75,LLM-Entropy,83.75,73.26,64.05,76.29,73.84,77.61,79.40,74.53,75.30,71.24,79.40,75.33
ACC,0.75,LLM-KLMatching,81.43,71.01,60.99,76.29,73.22,73.31,78.51,72.87,72.65,68.70,76.72,73.25
ACC,0.75,LLM-MaxLogit,91.92,79.23,45.36,74.86,73.55,81.42,84.50,74.22,62.99,53.60,82.47,73.10
