Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,Avg.
N-F1,0.5,LLM-Entropy,48.54,39.44,48.35,47.86,30.94,32.71,42.25,47.77,50.25,53.04,52.89,44.91
N-F1,0.5,LLM-KLMatching,30.36,24.18,8.35,33.12,24.06,27.86,30.99,32.84,43.72,37.34,43.77,30.60
N-F1,0.5,LLM-MaxLogit,93.53,84.00,73.24,78.53,82.23,88.93,90.65,83.77,79.72,78.45,86.21,83.57
N-F1,0.75,DOC,67.11,49.59,38.25,47.66,54.49,62.71,65.32,57.74,42.27,53.04,39.29,52.50
N-F1,0.75,DeepUNK,83.46,31.06,38.49,36.45,56.60,56.02,64.94,59.36,42.28,50.33,47.86,51.53
N-F1,0.75,ADB,70.77,72.24,31.05,51.24,65.16,73.65,73.82,62.70,68.72,56.32,72.68,63.49
N-F1,0.75,SCL,85.13,34.04,26.71,40.89,44.73,41.11,58.92,41.89,3.37,54.14,40.01,42.81
N-F1,0.75,AB,46.38,36.10,32.72,0.00,51.28,52.88,59.46,59.82,41.38,50.52,45.70,43.29
N-F1,0.75,KNNCon,85.92,50.00,9.10,50.99,54.32,63.74,71.90,50.84,63.35,58.53,55.48,55.83
N-F1,0.75,DyEn,89.89,55.23,21.41,45.75,56.65,49.96,72.09,45.93,60.56,59.80,58.40,55.97
N-F1,0.75,LLM-MaxSoftmax,47.42,33.50,44.90,38.39,38.61,43.57,43.10,42.55,47.92,45.65,53.36,43.54
N-F1,0.75,LLM-OpenMax,84.93,67.44,0.20,47.88,52.91,75.49,64.20,58.81,52.39,50.05,47.06,54.67
N-F1,0.75,LLM-TempScale,47.42,34.08,45.22,38.40,37.72,45.23,44.88,41.91,47.67,42.83,55.04,43.67
N-F1,0.75,LLM-EnergyBased,87.04,69.23,39.21,51.44,61.48,69.95,70.63,61.68,54.67,48.86,66.69,61.90
N-F1,0.75,LLM-LogitNorm,79.96,54.59,40.19,59.82,66.16,68.46,79.92,66.01,65.07,56.11,70.47,64.25
N-F1,0.75,LLM-Entropy,50.24,35.70,49.11,35.04,30.11,43.12,36.43,39.20,49.47,50.22,50.69,42.67
N-F1,0.75,LLM-KLMatching,39.40,25.25,7.91,30.50,26.31,20.80,31.87,30.71,38.66,37.93,39.65,29.91
N-F1,0.75,LLM-MaxLogit,87.85,71.01,41.76,53.25,63.90,72.28,75.63,64.28,57.01,50.26,71.70,64.45
