Metric,KCR,Method,20NG,THUCNews,Yahoo,TREC,BANK,S.O.,CLINC,HWU,ECDT,M-CID,DBPedia,X-Topic,Avg.
ACC,0.5,LLM-OpenMax,71.50,54.36,48.98,63.92,52.42,71.24,56.19,52.85,53.53,34.80,49.02,48.12,54.74
ACC,0.5,LLM-TempScale,65.41,50.09,41.20,57.06,55.87,62.18,68.52,55.62,52.60,35.29,42.03,41.11,52.25
ACC,0.5,LLM-Energy,85.19,63.29,55.44,62.49,63.03,80.86,74.04,58.45,52.57,33.84,50.24,47.79,60.60
ACC,0.5,LLM-LogitNorm,69.04,44.55,35.05,62.78,65.71,66.19,79.24,62.54,51.95,23.44,49.11,41.39,54.25
ACC,0.5,LLM-Entropy,67.13,52.34,43.86,62.24,55.76,64.37,67.61,58.41,55.84,37.04,41.74,38.96,53.77
ACC,0.5,LLM-KLMatching,60.57,48.80,39.82,43.55,51.05,56.10,61.59,48.33,28.21,14.08,22.45,23.85,41.53
ACC,0.5,LLM-MaxLogit,87.70,64.21,55.52,62.94,65.55,82.88,77.88,60.64,53.64,33.90,49.77,45.99,61.72
ACC,0.75,DOC,43.82,41.04,22.54,55.08,16.05,68.98,25.33,27.09,28.10,25.58,13.57,24.12,32.61
ACC,0.75,DeepUNK,54.28,30.71,26.24,34.07,47.17,40.27,58.31,48.55,13.69,51.83,31.67,19.42,38.02
ACC,0.75,ADB,81.69,80.01,56.03,48.16,60.33,80.06,76.09,63.93,57.76,43.08,74.47,43.73,63.78
ACC,0.75,SCL,97.76,32.28,26.08,46.39,32.99,62.41,53.34,44.28,13.79,35.24,26.61,30.73,41.83
ACC,0.75,AB,53.22,28.83,44.13,40.96,59.28,61.90,67.70,63.71,42.54,43.69,38.20,38.06,48.52
ACC,0.75,KNNCon,95.06,78.13,60.34,81.16,79.54,82.29,87.56,77.80,85.93,77.80,79.16,48.49,77.77
ACC,0.75,DyEn,97.15,76.54,59.03,75.41,80.83,79.00,87.96,70.26,88.46,79.56,78.03,45.05,76.44
ACC,0.75,LLM-MaxSoftmax,83.16,65.08,50.96,63.80,60.50,76.17,79.35,59.17,51.19,38.07,29.20,37.87,57.88
ACC,0.75,LLM-OpenMax,52.49,50.51,36.83,44.94,29.12,69.07,39.01,28.70,33.61,27.13,25.05,29.51,38.83
ACC,0.75,LLM-TempScale,82.61,65.08,50.94,63.27,60.38,76.17,79.33,59.09,51.17,38.43,29.00,40.36,57.99
ACC,0.75,LLM-Energy,78.65,55.57,34.62,47.47,41.27,73.34,66.18,42.38,37.69,31.66,27.45,30.84,47.26
ACC,0.75,LLM-LogitNorm,87.19,65.64,49.27,60.24,50.37,81.57,75.32,50.35,47.66,34.56,28.34,31.76,55.19
ACC,0.75,LLM-Entropy,83.75,66.47,51.59,64.08,60.46,75.81,78.56,60.78,51.87,38.91,28.75,38.62,58.30
ACC,0.75,LLM-KLMatching,81.00,64.64,50.91,62.12,59.84,72.87,77.96,58.08,41.58,36.98,23.62,33.23,55.24
ACC,0.75,LLM-MaxLogit,84.25,58.76,36.57,51.71,46.48,76.70,72.57,46.78,39.35,32.93,28.65,32.27,50.58
